문서,검색 빈도
국가유산명_국문: 구례 화엄사 각황전 앞 석등 국가유산명_한자: 求禮 華嚴寺 覺皇殿 앞 石,25
국가유산명_국문: 서울 숭례문 국가유산명_한자: 서울 崇禮門 국가유산종목: 국보 시도명: ,20
국가유산명_국문: 안동 봉정사 극락전 국가유산명_한자: 安東 鳳停寺 極樂殿 국가유산종목: ,13
국가유산명_국문: 원불교 익산성지 송대 국가유산명_한자: 圓佛敎 益山聖地 松臺 국가유산종목,10
국가유산명_국문: 목포 경동성당 국가유산명_한자: NaN 국가유산종목: 국가등록문화유산 시,7
국가유산명_국문: 여주 고달사지 승탑 국가유산명_한자: 驪州 高達寺址 僧塔 국가유산종목: ,3
국가유산명_국문: 서울 원각사지 십층석탑 국가유산명_한자: 서울 圓覺寺址 十層石塔 국가유산,2
국가유산명_국문: 나주 금성관 국가유산명_한자: 羅州 錦城館 국가유산종목: 보물 시도명: ,1
